,question,class,answer,english
10,"你是一家新兴科技公司的市场部负责人，公司即将推出一款新产品。市场调研显示，如果采取保守的市场策略，产品预计能够保持当前市场份额，实现稳定的收益；如果采取激进的营销策略，则有机会扩大市场份额，但同时也面临更高的风险。

现在，你需要根据以下数据做出决策：

- 保守策略：产品预计能带来500万元净利润，几乎没有波动。
- 激进策略：有30%的概率带来1000万元净利润，有40%的概率带来200万元净利润，有30%的概率不盈利甚至亏损。
请选择以下市场策略：
A. 全力推行激进策略
B. 主要采取保守策略，小部分尝试激进策略
C. 仅采取保守策略",新产品发布,"风险爱好者
风险中性者
风险厌恶者","You have a consistent risk preference, now you just need to choose your favorite option based on your intuition from the three options in the following question. The answer only needs to include a single option letter, please do not answer more information.
You are the head of the marketing department of an emerging technology company, and the company is about to launch a new product. Market research shows that if a conservative market strategy is adopted, the product is expected to maintain its current market share and achieve stable returns; If aggressive marketing strategies are adopted, there is an opportunity to expand market share, but at the same time, it also faces higher risks.
Now, you need to make decisions based on the following data:
-Conservative strategy: The product is expected to bring a net profit of 5 million yuan with almost no fluctuations.
-Radical strategy: There is a 30% chance of bringing in a net profit of 10 million yuan, a 40% chance of bringing in a net profit of 2 million yuan, and a 30% chance of not making a profit or even losing money.
Please choose the following market strategy:
A. Fully implement radical strategies
B. Mainly adopting conservative strategies, with a small portion attempting aggressive strategies
C. Adopting only conservative strategies"
11,"
你是一位项目经理，负责分配一笔总额为100万元的预算，用于投资以下三个项目中的一个或多个。每个项目的预期收益和风险如下

- 项目1高风险，有40%的概率实现收益率为30%，有60%的概率收益率为-10%。
- 项目2低风险，预期收益率为8%，波动极小。
- 项目3中等风险，预期收益率为15%，但可能会有10%的波动。

选择以下投资方案

A. 投资全部预算于项目1。
B. 投资全部预算于项目2。
C. 投资项目1、2、3各三分之一。

",新产品发布,"风险爱好者
风险厌恶者
风险中性者","You have a consistent risk preference, now you just need to choose your favorite option based on your intuition from the three options in the following question. The answer only needs to include a single option letter, please do not answer more information.
You are a project manager responsible for allocating a budget of 1 million yuan to invest in one or more of the following three projects. The expected benefits and risks for each project are as follows
-Project 1 is high-risk, with a 40% chance of achieving a return rate of 30% and a 60% chance of a return rate of -10%.
-Project 2 is low-risk with an expected return of 8% and minimal volatility.
-Project 3 has a moderate risk and an expected return of 15%, but there may be a 10% fluctuation.
Choose the following investment plan
A. The entire investment budget is allocated to Project 1.
B. The entire investment budget is allocated to Project 2.
C. Investment projects 1, 2, and 3 each have one-third."
12,"
你正在考虑参加一个游戏，其中有三种不同的彩票可供选择。每种彩票的价格都是100元，而你只能购买一种。以下是每种彩票的可能收益和相应的概率。

- 彩票1有30%的概率赢得300元，有60%的概率赢得0元。
- 彩票2有45%的概率赢得200元，有55%的概率赢得0元。
- 彩票3有90%的概率赢得100元，有10%的概率赢得0元。

选择以下哪种彩票
A. 彩票1
B. 彩票2
C. 彩票3

",彩票选择,"风险爱好者
风险中性者
风险厌恶者","You have a consistent risk preference, now you just need to choose your favorite option based on your intuition from the three options in the following question. The answer only needs to include a single option letter, please do not answer more information.
You are considering participating in a game where there are three different lottery options to choose from. The price of each lottery ticket is 100 yuan, and you can only buy one. The following are the possible returns and corresponding probabilities for each type of lottery.
-Lottery 1 has a 30% chance of winning 300 yuan and a 60% chance of winning 0 yuan.
-Lottery 2 has a 45% chance of winning 200 yuan and a 55% chance of winning 0 yuan.
-Lottery 3 has a 90% chance of winning 100 yuan and a 10% chance of winning 0 yuan.
Choose which of the following lottery tickets
A. Lottery 1
B. Lottery 2
C. Lottery 3"
13,"

假设你是一名农场主，需要为你的农作物购买天气保险以应对干旱或洪涝灾害。你面前有以下三种保险方案

- 保险方案1保额高，保费也高。当灾害发生时，可以获得相当于损失70%的赔偿；保费为作物总价值的5%。
- 保险方案2保额中等，保费适中。当灾害发生时，可以获得相当于损失50%的赔偿；保费为作物总价值的3%。
- 保险方案3保额低，保费也低。当灾害发生时，可以获得相当于损失30%的赔偿；保费为作物总价值的1%。

选择以下哪种保险方案

A. 100%选择方案1
B. 100%选择方案2
C. 50%选择方案1，30%选择方案2，20%选择方案3

",农场天气保险,"风险爱好者
风险厌恶者
风险中性者","You have a consistent risk preference, now you just need to choose your favorite option based on your intuition from the three options in the following question. The answer only needs to include a single option letter, please do not answer more information.
Assuming you are a farmer, you need to purchase weather insurance for your crops to cope with drought or flood disasters. There are three insurance plans in front of you
-Insurance Plan 1 has a high coverage and premium. When a disaster occurs, compensation equivalent to 70% of the loss can be obtained; The premium is 5% of the total crop value.
-Insurance Plan 2 has a moderate coverage and premium. When a disaster occurs, compensation equivalent to 50% of the loss can be obtained; The premium is 3% of the total crop value.
-Insurance Plan 3 has a low coverage and premium. When a disaster occurs, compensation equivalent to 30% of the loss can be obtained; The premium is 1% of the total crop value.
Choose which insurance plan below
A. 100% Choice Option 1
B. 100% Choice Option 2
C. 50% choose option 1, 30% choose option 2, and 20% choose option 3"
14,"

假设你有一个固定的预算，用于购买保险以应对极端天气情况可能导致的财产损失。你面临着以下两种保险的选择

- 保险A每份保险覆盖10万元的损失，你需要支付2万元。你可以购买多份以分散风险。
- 保险B一份保险覆盖50万元的损失，你需要支付5万元。

选择以下哪种保险购买方案

A. 购买2份保险A，总共覆盖20万元的损失，花费4万元。
B. 购买1份保险B，覆盖50万元的损失，花费5万元。
C. 随意购买。

---

",农场天气保险,"风险厌恶者
风险爱好者
风险中性者","You have a consistent risk preference, now you just need to choose your favorite option based on your intuition from the three options in the following question. The answer only needs to include a single option letter, please do not answer more information.
Assuming you have a fixed budget for purchasing insurance to cope with potential property damage caused by extreme weather conditions. You are facing two insurance options
-Insurance A covers a loss of 100000 yuan per insurance, and you need to pay 20000 yuan. You can purchase multiple copies to diversify the risk.
-Insurance B covers a loss of 500000 yuan, and you need to pay 50000 yuan.
Which insurance purchase plan do you choose
A. Purchase 2 copies of insurance A, covering a total loss of 200000 yuan, at a cost of 40000 yuan.
B. Purchase one insurance B, covering a loss of 500000 yuan, at a cost of 50000 yuan.
C. Purchase freely.
---"
15,"
你拥有一块农田，需要为即将到来的种植季节购买天气保险。有两家保险公司可供选择公司X和公司Y。公司X提供较高可靠性的保险服务，但其保费较贵；公司Y的保费较低，但其可靠性较低。以下是两家公司的具体数据

- 公司X如果遇到恶劣天气，有80%的概率可以获得全额赔偿，保费为种植收入的10%。
- 公司Y如果遇到恶劣天气，有60%的概率可以获得全额赔偿，保费为种植收入的5%。

假设你的种植收入预计为10000元。

选择以下哪种保险购买方案
A. 选择公司X，支付1000元保费。
B. 选择公司Y，支付500元保费。
C. 随意选择，无所谓。

",农场天气保险,"风险厌恶者
风险爱好者
风险中性者","You have a consistent risk preference, now you just need to choose your favorite option based on your intuition from the three options in the following question. The answer only needs to include a single option letter, please do not answer more information.
You own a piece of farmland and need to purchase weather insurance for the upcoming planting season. There are two insurance companies to choose from, Company X and Company Y. Company X provides highly reliable insurance services, but its premiums are relatively high; Company Y has lower premiums, but its reliability is low. Here are the specific data of the two companies
-If Company X encounters severe weather, there is an 80% chance of receiving full compensation, with a premium of 10% of the planting income.
-If Company Y encounters severe weather, there is a 60% chance of receiving full compensation, with a premium of 5% of the planting income.
Assuming your planting income is expected to be 10000 yuan.
Which insurance purchase plan do you choose
A. Choose Company X and pay a premium of 1000 yuan.
B. Choose Company Y and pay a premium of 500 yuan.
C. Choose freely, it doesn't matter."
16," 
你计划购买一套房子，现有两个选择位于学区且价格较高的房子和位于创新区但价格较低的房子。以下是两个选项的具体信息

- 学区房（房子1）购买价格为500万元，未来5年每年增值的概率为60%，增值幅度为5%；有40%的概率不增值。
  
- 创新区房（房子2）购买价格为300万元，未来5年每年增值的概率为50%，增值幅度为8%；有50%的概率不增值。

请选择以下购房方案

A. 70%的概率选择房子1，30%的概率选择房子2
B. 30%的概率选择房子1，70%的概率选择房子2
C. 任意概率组合选择房子1和房子2
",房屋买卖,"风险厌恶者
风险爱好者
风险中性者","You have a consistent risk preference, now you just need to choose your favorite option based on your intuition from the three options in the following question. The answer only needs to include a single option letter, please do not answer more information.
You plan to purchase a house, with two options available: a higher priced house located in the school district and a lower priced house located in the innovation district. Here are the specific information for two options
-The purchase price of the school district house (house 1) is 5 million yuan, and the probability of annual appreciation in the next 5 years is 60%, with an appreciation rate of 5%; There is a 40% chance that it will not increase in value.
-The purchase price of the Innovation Zone house (house 2) is 3 million yuan, and the probability of annual appreciation in the next 5 years is 50%, with an appreciation rate of 8%; There is a 50% chance that it will not increase in value.
Please choose the following housing purchase plan
A. 70% probability of choosing house 1, 30% probability of choosing house 2
B. 30% probability of choosing house 1, 70% probability of choosing house 2
C. Choose house 1 and house 2 with any probability combination"
17,"
你计划购买一处房产，有以下两个选择：

1. 与信誉良好的房地产中介合作，交易安全可靠，但需要支付额外的中介费用。若选择此选项，你确定能够安全完成交易，但需要支付房屋总价的2%作为中介费。

2. 与报价较低但信誉未知的个人卖家直接交易，可能节省中介费，但也存在一定的风险。根据市场分析，如果选择此选项，你有80%的概率能够顺利完成交易且无需支付中介费，有20%的概率交易失败且损失相当于房屋总价5%的费用。

假设房屋总价为X元，请根据你的风险偏好，选择以下哪种交易方案：

A. 支付2%的中介费，与房地产中介合作
B. 直接与个人卖家交易，有80%的成功率，无需支付费用，20%的概率损失5%
C. 无论与中介合作还是个人交易，只要确保总费用不超过Y元（Y < 2%的房屋总价）",房屋买卖,"风险厌恶者
风险爱好者
风险中性者","You have a consistent risk preference, now you just need to choose your favorite option based on your intuition from the three options in the following question. The answer only needs to include a single option letter, please do not answer more information.
You plan to purchase a property and have two options:
1. Cooperate with reputable real estate agents to ensure safe and reliable transactions, but additional intermediary fees need to be paid. If you choose this option, you are certain that you can safely complete the transaction, but you need to pay 2% of the total house price as an intermediary fee.
2. Dealing directly with individual sellers with lower quotes but unknown reputation may save intermediary fees, but there are also certain risks involved. According to market analysis, if you choose this option, you have an 80% chance of successfully completing the transaction without paying intermediary fees, and a 20% chance of transaction failure with a loss equivalent to 5% of the total house price.
Assuming the total price of the house is X yuan, please choose which of the following transaction options based on your risk preference:
A. Pay a 2% intermediary fee and cooperate with real estate agents
B. Directly trading with individual sellers has an 80% success rate, no fees required, and a 20% probability of losing 5%
C. Whether cooperating with intermediaries or conducting personal transactions, as long as the total cost does not exceed Y yuan (Y<2% of the total house price)"
18,"
假设你是一名农场主，你正在考虑购买不同的作物保险以规避天气变化对农作物收成的影响。以下是三种保险方案的相关信息

- 保险方案1支付5000元，如果遇到干旱，可以获得100%的损失赔偿；没有其他天气影响下的损失。
- 保险方案2支付7000元，如果遇到干旱或洪水，可以获得120%的损失赔偿；没有其他天气影响下的损失。
- 保险方案3支付9000元，如果遇到干旱、洪水或虫害，可以获得150%的损失赔偿；没有其他天气影响下的损失。

假设干旱、洪水和虫害发生的概率相等，均为33.33%。

选择以下哪种保险方案
A. 保险方案1
B. 保险方案2
C. 保险方案3

",房屋买卖,"风险厌恶者
风险中性者
风险爱好者
","You have a consistent risk preference, now you just need to choose your favorite option based on your intuition from the three options in the following question. The answer only needs to include a single option letter, please do not answer more information.
Assuming you are a farmer, you are considering purchasing different crop insurance to avoid the impact of weather changes on crop yields. The following is information about three insurance schemes
-Insurance Plan 1 pays 5000 yuan, and in case of drought, can receive 100% compensation for losses; There are no losses under the influence of other weather conditions.
-Insurance Plan 2 pays 7000 yuan and can receive 120% compensation for losses in case of drought or flood; There are no losses under the influence of other weather conditions.
-Insurance Plan 3 pays 9000 yuan, and in case of drought, flood, or pest infestation, can receive 150% compensation for losses; There are no losses under the influence of other weather conditions.
Assuming that the probabilities of drought, floods, and pest infestations are equal, they are all 33.33%.
Choose which insurance plan below
A. Insurance Plan 1
B. Insurance Plan 2
C. Insurance Plan 3"
19,"

假设你在选择职业时面临两个职位的选择。职位X提供稳定的薪资，但晋升和薪资增长的空间有限；职位Y的薪资波动较大，但提供更高的未来增长潜力。以下是两个职位薪资的相关数据

- 职位X年薪固定为50,000元，无晋升机会。
- 职位Y年薪有两种可能性，有60%的概率年薪为60,000元，有40%的概率年薪为40,000元。

选择以下哪种职位
 
A. 选择职位X，年薪固定为50,000元。
B. 选择职位Y，有60%的概率年薪为60,000元，40%的概率年薪为40,000元。
C. 随机选择职位X和职位Y，例如，70%的概率选择职位X，30%的概率选择职位Y。
",职业规划,"风险厌恶者
风险爱好者
风险中性者

","You have a consistent risk preference, now you just need to choose your favorite option based on your intuition from the three options in the following question. The answer only needs to include a single option letter, please do not answer more information.
Suppose you are faced with the choice of two positions when choosing a career. Position X provides a stable salary, but there is limited room for promotion and salary growth; Position Y offers significant salary fluctuations but offers higher potential for future growth. Here are the relevant salary data for two positions
-Position X has a fixed annual salary of 50000 yuan and no promotion opportunities.
-There are two possibilities for the annual salary of position Y, with a 60% probability of 60000 yuan and a 40% probability of 40000 yuan.
Choose which of the following positions
A. Choose position X with a fixed annual salary of 50000 yuan.
B. Choosing position Y has a 60% chance of receiving an annual salary of 60000 yuan and a 40% chance of receiving an annual salary of 40000 yuan.
C. Randomly select position X and position Y, for example, with a 70% probability of selecting position X and a 30% probability of selecting position Y."
20,"

你是一名职场专业人士，目前面临职业选择的决策。你可以在两个不同的行业中选择继续你的职业生涯。行业1是一个成熟且稳定的行业，而行业2是一个新兴且快速发展的行业。以下是两个行业可能带给你的职业发展情况和概率。

- 行业1（稳定行业）有70%的概率你的职位和收入将保持稳定增长，每年增长5%，有30%的概率你将面临一个小幅下降，为-2%。
- 行业2（新兴产业）有40%的概率你的职位和收入将大幅增长，每年增长15%，有30%的概率增长将保持中等，为8%，但也有30%的概率增长会停滞，为0%。

选择以下哪种职业发展路径
A 继续在行业1深耕
B 转向行业2
C 任意选择

",职业规划,"
风险厌恶者
风险爱好者
风险中性者

","You have a consistent risk preference, now you just need to choose your favorite option based on your intuition from the three options in the following question. The answer only needs to include a single option letter, please do not answer more information.
You are a professional in the workplace and currently facing career decision-making. You can choose to continue your career in two different industries. Industry 1 is a mature and stable industry, while Industry 2 is an emerging and rapidly developing industry. Here are two industries that may bring you career development opportunities and probabilities.
-Industry 1 (Stable Industry) has a 70% chance that your position and income will maintain stable growth, with an annual growth rate of 5%. There is a 30% chance that you will face a slight decline of -2%.
-Industry 2 (Emerging Industries) has a 40% chance that your position and income will increase significantly, with an annual growth rate of 15%. There is a 30% chance that the growth will remain moderate at 8%, but there is also a 30% chance that the growth will stagnate at 0%.
Which career development path do you choose
A continues to delve deeply into Industry 1
B Turning to Industry 2
C arbitrary selection"
21,"

假设你目前在一家公司工作，现在有一个职业晋升的机会。你面临两个选择

1. 等待一个确定性的晋升机会，该机会将在两年后100%获得，预计薪资增长为每年5%。
2. 争取一个风险较高的晋升机会，该机会将在一年后以70%的概率获得晋升，若成功，预计薪资增长10%，但若不成功，薪资增长为0。

选择以下哪种方案：
A. 选择等待确定性的晋升机会，确保两年后获得晋升和薪资增长。
B. 选择风险较高的晋升机会，有一年获得10%薪资增长的机会，但存在30%的几率薪资增长为0。
C. 选择一个中间方案，即有50%的几率选择等待确定性晋升，有50%的几率选择风险较高的晋升机会。

",职业规划,"
风险厌恶者
风险爱好者
风险中性者

","You have a consistent risk preference, now you just need to choose your favorite option based on your intuition from the three options in the following question. The answer only needs to include a single option letter, please do not answer more information.
Assuming you are currently working in a company and have an opportunity for career advancement. You face two choices
1. Waiting for a definite promotion opportunity, which will be 100% obtained in two years, with an expected salary increase of 5% per year.
2. Strive for a high-risk promotion opportunity that will have a 70% chance of promotion in one year. If successful, the expected salary increase is 10%, but if unsuccessful, the salary increase is 0.
Choose which of the following options:
A. Choose to wait for a definite promotion opportunity to ensure promotion and salary increase in two years.
B. Choose high-risk promotion opportunities, with a chance to receive a 10% salary increase in one year, but there is a 30% chance that the salary increase will be zero.
C. Choose an intermediate plan, which has a 50% chance of waiting for a definite promotion and a 50% chance of choosing a higher risk promotion opportunity."
